ID,Adresse,Beschreibung,Nummer,Auch mit Gebühr,created,likes,Status,status_reason,position
187,"Schleiermacherstraße 25, 10961 Berlin","Stellplätze für Besucher des Marheinekemarkts, die aus Osten kommen.",4,False,2019-09-11T12:13:36+00:00,,report_verification,,"52.4889483825996,13.3973208857803"
188,"Blücherplatz, Blücherplatz, Berlin, 10961",An der Amerika-Gedenk-Bibliothek fehlen massenhaft Fahrradbügel,12,False,2019-09-11T12:13:51+00:00,,report_verification,,"52.4969265818759,13.3924143947413"
189,"Yorckstraße 90, 10965 Berlin",Vor der Kirche und den diversen Lokalitäten fehlen gesicherte Abstellmöglichkeiten,8,False,2019-09-11T12:16:00+00:00,,report_verification,,"52.4928369882265,13.3863119767387"
190,"Blücherplatz 23, 10961 Berlin",Gerne mehr Bügel an der ZLB. Dabei noch einseitigen Fußgängerüberweg auf der gegenüberliegenden Seite vervollständigen.,8,False,2019-09-11T12:16:19+00:00,,report_verification,,"52.4969710581203,13.3916553792401"
191,"Zellestraße 16, 10247 Berlin","Vor der bezirklichen Musikschule gibt es immer noch zu wenige Fahrradbügel, vor allem ab 15 Uhr.",12,False,2019-09-11T12:17:15+00:00,,report_verification,,"52.5183393767907,13.4594780030662"
192,"Adalbertstraße 94, 10999 Berlin",Hier viele Leihacooter,9,False,2019-09-11T12:22:21+00:00,,report_verification,,"52.5007211229976,13.418887732172"
193,"Mariannenstraße 45, 10999 Berlin",Vor der Treppe zum Skalitzer Park ist neben dem Gehweg genug Platz vor einer Mauer,5,False,2019-09-11T12:38:43+00:00,,report_verification,,"52.4994560672424,13.4226754799449"
194,"Waldeyerstraße 9, 10247 Berlin",Nähe zu einer Kita,4,False,2019-09-11T13:25:04+00:00,,report_verification,,"52.5149646627182,13.4718287775783"
195,"Köpenicker Straße 23, 10997 Berlin",schlimm,12,True,2019-09-11T13:29:49+00:00,,report_verification,,"52.5077854592689,13.431969392173"
196,"Tempelhofer Ufer 23, 10963 Berlin","Wikimedia stellt häufig Räume für Initiativen aus der Zivilgesellschaft zur Verfügung.

Nur wenige Baumschutzbügel vorhanden bisher.",8,False,2019-09-11T13:48:23+00:00,,report_verification,,"52.4983575621804,13.3811362261617"
197,"Görlitzer Straße 61, 10997 Berlin",Restaurantbesucher stellen Fahrräder aufgrund mangelnden Platzes immer mitten auf dem Gehweg ab.,3,False,2019-09-11T14:01:28+00:00,,report_verification,,"52.4979458844877,13.4362506891856"
198,"Kottbusser Brücke, Kottbusser Str., Berlin, 10999",Nicht genügend Platz für alle Räder.,6,False,2019-09-11T14:03:12+00:00,,report_verification,,"52.4961233832468,13.4202977876907"
199,"Mariannenstraße 45, 10999 Berlin","Hier gibt es sehr viele Büros und viele Mitarbeiter kommen mit dem Fahrrad. Wer sein Rad hier nicht an etwas anschließt, muss mit Diebstahl",12,False,2019-09-11T14:11:48+00:00,,report_verification,,"52.4995076121326,13.4226607082189"
200,"Neue Bahnhofstraße 36, 10245 Berlin","unzählige Fahrräder - privat und Leihräder - blockieren den Gehweg, Autos blockieren den Zuwege zum Bahnhof für jede*n, besonders Menschen m",12,True,2019-09-11T14:12:44+00:00,,report_verification,,"52.5045235985596,13.4683288085872"
201,"Fürstenwalder Straße 30, 10243 Berlin",Vor einer Kita.,7,False,2019-09-11T14:13:56+00:00,,report_verification,,"52.519137070305,13.4314240819032"
202,"Mehringdamm 54, 10961 Berlin",Mehrere Wohnhäuser und Geschäfte und viel zu wenig Abstellmöglichkeiten für Fahrräder,5,True,2019-09-11T14:14:18+00:00,,report_verification,,"52.4915357563519,13.3869557915173"
203,"Boxhagener Straße 37, 10245 Berlin",Vor dem Ladenkino kaum Möglichkeiten sein Fahrrad anzuschliessen.,10,False,2019-09-11T14:14:21+00:00,,report_verification,,"52.5118885027365,13.46165241375"
204,"Laskerstraße 7, 10245 Berlin",Vor dem Zukunft am Ostkreuz kaum Möglichkeiten sein Fahrrad anzuschliessen.,12,False,2019-09-11T14:15:59+00:00,,report_verification,,"52.5013967418035,13.4659749121404"
205,"Scharnweberstraße 35, 10247 Berlin",2 Kinderläden direkt davor.,6,False,2019-09-11T14:16:56+00:00,,report_verification,,"52.5130376106471,13.4630439718846"
206,"Frankfurter Allee 57, 10247 Berlin","Supermarkt, Drogerie, U-Bahn-Eingang, ... Immer zahlreiche ""wild parkende"" Fahrräder.",10,False,2019-09-11T14:21:36+00:00,,report_verification,,"52.5147255260911,13.4657539178905"
207,"Mariannenstraße 45, 10999 Berlin",Die ungenutzte Fläche vor der Treppe zum Park eignet sich für mehrere Fahrradbügel. In der Umgebung ist jedes Straßenschild doppelt belegt,6,False,2019-09-11T14:22:52+00:00,,report_verification,,"52.4995172407497,13.422721271986"
208,"Mariannenstraße 45, 10999 Berlin","Sie müssten gar nicht auf der Strasse sein, es gibt genug Platz für Fahrradbügel vorm Park, zwischen Treppe und kleinem Autoparkplatz.",7,False,2019-09-11T14:27:21+00:00,,report_verification,,"52.4994227682399,13.4228046330941"
209,"Tamara-Danz-Straße 9, 10245 Berlin",am bahnhof sind Fahrradbügel immer praktisch,12,False,2019-09-11T14:34:05+00:00,,report_verification,,"52.5054959342769,13.4490121616876"
210,"Mariannenstraße 45, 10999 Berlin",Gegenüber Büro- und Praxenhaus Mariannenstraße 9-10. Hier bräuchte es wegen der vielen Beschäftigten und Besucher dringend mehr Plätze.,6,False,2019-09-11T14:56:34+00:00,,report_verification,,"52.4994900710149,13.4229811393673"
211,"Oranienstraße 60, 10969 Berlin",Vor dem Modulor fehlt es durchgehend an Radabstellplätzen.,3,False,2019-09-11T15:04:11+00:00,,report_verification,,"52.5034102065604,13.4103581874859"
212,"Mariannenstraße 45, 10999 Berlin",Vor der Treppe neben der Mauer zum Skalitzer Park ist ausreichend Platz für Fahrradbügel,10,False,2019-09-11T15:07:43+00:00,,report_verification,,"52.4993354587727,13.422726048853"
213,"EDEKA Thaut, Jessnerstr. 47-55, Berlin, 10247",Vor dem Edeka herrscht eigentlich zu jeder Tageszeit Abstellchaos. Die bestehenden Bügel sind nicht ausreichend.,10,False,2019-09-11T15:08:39+00:00,,report_verification,,"52.509995133494,13.470870438887"
214,"Am Friedrichshain 34, 10249 Berlin",Ggü. befinden sich Restaurants und es ist einer der Eingänge zum Volkspark.,3,False,2019-09-11T15:10:49+00:00,,report_verification,,"52.5280530099196,13.4252654040247"
215,"Mariannenplatz 23, 10997 Berlin",Restaurantbesucher finden keine Abstellmöglichkeiten -> Räder auf Gehweg :(,3,False,2019-09-11T15:23:05+00:00,,report_verification,,"52.5041523558487,13.426499702055"
216,"Kottbusser Damm 104, 10999 Berlin",k.A.,10,False,2019-09-11T15:35:02+00:00,,report_verification,,"52.4962384186027,13.4201762894825"
217,"Mariannenstraße 11, 10999 Berlin","Kleiner Parkplatz neben dem Parkeingang unterhalb des Giebels mit dem Kosmunautenbild. Parkplatz ist abgesperrt, aber kaum genutzt.",12,False,2019-09-11T15:41:14+00:00,,report_verification,,"52.4993931824673,13.4225203832387"
218,"Oranienstraße 193, 10999 Berlin","Am Heinrichplatz gibt es schon viele Fahrradbügel, sie reichen selbst im Winter nie aus.",6,False,2019-09-11T15:45:36+00:00,,report_verification,,"52.5002107565193,13.4229145813177"
219,"Katzbachstraße 6, 10965 Berlin",Das Anschließen von Fahrrädern ist hier nahezu unmöglich.,2,False,2019-09-11T15:49:58+00:00,,report_verification,,"52.4903435585653,13.3767641477281"
220,"Friesenstraße 14, 10965 Berlin",Vor der Polizeidienststelle in der Friesenstraße (Eingang Friesenstraße) hat es vor den Bauarbeiten Radbügel gegeben. Die fehlen jetzt.,8,False,2019-09-11T15:50:57+00:00,,report_verification,,"52.4861009381507,13.3945941028012"
221,"Böckhstraße 51, 10967 Berlin",Am westlichen Ende der Böckhstraße kann ich mein Fahrrad nicht sicher abstellen. Es gibt dort keine / zu wenige Bügel.,5,False,2019-09-11T16:15:13+00:00,,report_verification,,"52.4943985023601,13.4164385496847"
222,"Friesenstraße 15, 10965 Berlin","Vor den Häusern 15a, 15b, 15c stehen in der Regel abends 15 Räder ohne Bügel. Der Bedarf dürfte vermutlich noch höher sein.",4,False,2019-09-11T16:46:29+00:00,,report_verification,,"52.484658104591,13.3942923840868"
223,"Zuckerschock, Bergmannstraße 59, Berlin, 10961","Mehrere Cafes sowie Musikschule - jede Menge Räder auf dem Fußweg, an Baumscheiben etc. Am besten auf die Parkspur.",5,False,2019-09-11T16:59:42+00:00,,report_verification,,"52.4888978736292,13.4029730096413"
224,"Samariterstraße 19, 10247 Berlin",Die markierte Position ist vor einer Sporthalle. Dort gibt es nur einen einzigen Fahrradbügel und es werden dringend mehr Fahrradbügel benöt,6,False,2019-09-11T17:05:35+00:00,,report_verification,,"52.5195056894511,13.4667479883958"
225,"Prinzenstraße 113, 10969 Berlin","Vor Prinzenbad u. U-Bhf Prinzenstr.:
Es gibt nur 5-6 Bügel auf dem Gehweg reichen hier nicht aus! Im Sommer 100-te wild abgestellte Räder",12,False,2019-09-11T17:09:25+00:00,,report_verification,,"52.4975475862779,13.4058547843039"
226,"Bödikerstraße 36, 10245 Berlin",Kita Stralauer Allee 18/Ecke Bödikerstraße 36 sowie gegenüberliegend Kinderarztpraxis Bödikerstraße 1.,4,False,2019-09-11T17:09:32+00:00,,report_verification,,"52.4983530365702,13.4624868648991"
227,"Mariannenstraße 11, 10999 Berlin","wahnsinnig viel fahrräder durch arztpraxen, büros, gastronomie, laufkundschaft aber keinerlei anschlussmöglichkeiten.",12,False,2019-09-11T17:10:48+00:00,,report_verification,,"52.4992115397849,13.4223666172757"
228,"Carl-Herz-Ufer 9, 10961 Berlin","Vorhandene Stellplätze reichen nicht aus, Gehweg immer dicht. Urbanhafen-Gastronomie + Touris + Anwohner benötigen mehr Stellplätze.",10,False,2019-09-11T17:25:55+00:00,,report_verification,,"52.4959510433386,13.4056896571431"
229,"Eisenbahnstraße 1, 10997 Berlin","Es gibt hier schon viele Bügel, aber besonders an Markttagen sind diese voll belegt.",12,False,2019-09-11T17:28:44+00:00,,report_verification,,"52.5019302564766,13.4321923872383"
230,"Skalitzer Straße 138, 10999 Berlin","Vorplatz Skalitzer / Ecke Reichenberger. Keine Bügel vorhanden, Räder werden an Straßengitter gekettet. An diesem Ort nicht ausreichend.",10,False,2019-09-11T17:33:50+00:00,,report_verification,,"52.4991532383173,13.417688967767"
231,"Kottbusser Damm 103, 10967 Berlin","Eingang zum Wochenmarkt (3x pro Woche) + lokaler Shoppinghotspot:
Bitte 4 Autostellplätze zu 12 Bügeln für 24 Räder umwidmen. Danke!",12,False,2019-09-11T17:38:54+00:00,,report_verification,,"52.4954191307295,13.4206754969116"
232,"Schlesische Straße 25, 10997 Berlin","An diesem 24h/365d Besucher Hotspot gibt es keinerlei Radabstellmöglichkeiten. Folge: Schilder, Brückengeländer, alles dicht.",12,False,2019-09-11T17:51:32+00:00,,report_verification,,"52.4976358099804,13.4483953113263"
233,"Frankfurter Allee 111, 10247 Berlin","Hier sind zwar schon viele Bügel aufgestellt, die sind aber konstant (!) belegt.",12,True,2019-09-11T18:02:50+00:00,,report_verification,,"52.5138340929236,13.4741708043093"
234,"Zossener Straße 36, 10961 Berlin","Kinderladen im Haus Nr 36, Eltern kommen zum Bringen und Abholen meist mit Rad, teilweise auch Lastenrad. Bushaltestelle schräg vor der Tür.",4,False,2019-09-11T18:03:01+00:00,,report_verification,,"52.4906457773885,13.3947565459418"
235,"Rigaer Straße 56, 10247 Berlin","Hier gibt es auch viele Bügel, aber die sind konstant belegt. Auslastung 120%.",12,True,2019-09-11T18:04:16+00:00,,report_verification,,"52.5147591978576,13.4738217083885"
236,"Simplonstraße 62, 10245 Berlin",An der nördlichen Seite des Ostkreuzes benötigt man unbedingt mehr Bügel.,12,True,2019-09-11T18:06:13+00:00,,report_verification,,"52.5042776704465,13.4679040236922"
237,"Gärtnerstraße 12, 10245 Berlin",Hier ist insbesondere am Wochenende an den beiden Markttagen kein Abstellplatz zu kriegen.,12,True,2019-09-11T18:20:14+00:00,,report_verification,,"52.5105260052033,13.4608384359458"
238,"Planufer 96, 10967 Berlin",Vor Netto Supermarkt. Heilloses Chaos momentan auch wegen vieler Café - Plätze.,6,False,2019-09-11T18:56:56+00:00,,report_accepted,,"52.4954975133934,13.4200439012183"
239,"Pablo-Neruda-Bibliothek, Frankfurter Allee 14a, Berlin, 10247",Es gibt wenige Fahrradbügel dort. Sie sind nicht ausreichend für die vielen Bücherernutzer*innen.,7,False,2019-09-11T19:00:05+00:00,,report_verification,,"52.5144821931879,13.4572741460271"
240,"Reichenberger Straße 18, 10999 Berlin",Süd östlich Kottbusser Tor auf kleinem Platz zw. Reichenberger und Kottbusser str. Die vorhandenen reichen nicht aus. Ergänzen bitte,10,False,2019-09-11T19:00:45+00:00,,report_verification,,"52.4987551095935,13.4189159463842"
241,"Frankfurter Allee 16, 10247 Berlin","Vor der Pablo-Neruda-Bibliothek gibt es zwar 3 Fahrradbügel, diese reichen aberbei weitem nicht für diese hoch frequentiere Bibliothek aus.",6,False,2019-09-11T19:02:08+00:00,,report_verification,,"52.5146932341714,13.4575980388249"
242,"Dresdener Straße 10, 10999 Berlin",Verteilt in Dresdner str. zwischen kottoli un O-Platz,4,False,2019-09-11T19:04:00+00:00,,report_verification,,"52.5004472290391,13.4173526170066"
243,"Mariannenstraße 45, 10999 Berlin",Fahrradbügel gegenüber Gebäude Mariannenstraße 9/10,1,False,2019-09-11T19:55:17+00:00,,report_verification,,"52.499492127126,13.4227399704387"
244,"Dudenstraße 2, 10965 Berlin","U-Bahn-Station Platz der Luftbrücke (Fahrradbügel sind immer voll belegt, kein Platz für weitere Räder)",12,False,2019-09-11T20:30:32+00:00,,report_verification,,"52.4850276295754,13.3856758226144"
245,"Yorckstraße 7, 10965 Berlin",Fahrradständer fehlen,5,False,2019-09-11T20:51:08+00:00,,report_verification,,"52.4935554590689,13.3851263381691"
246,"Köthener Straße 48, 10963 Berlin",Bügel fehlen,8,True,2019-09-11T20:54:34+00:00,,report_verification,,"52.5077435204859,13.3777252589841"
247,"Görlitzer Straße 61, 10997 Berlin",Beliebte Restaurants,6,False,2019-09-11T20:57:40+00:00,,report_verification,,"52.4978722776336,13.4361884441064"
248,"Frankfurter Allee 111, 10247 Berlin",Die bestehenden Fahrradständer sind in der Regel alle belegt und es ist kaum möglich einen freien Platz zu finden.,12,False,2019-09-11T21:07:15+00:00,,report_verification,,"52.513882656341,13.4739548173784"
249,"Tempelhofer Ufer 17, Tempelhofer Ufer 17, Berlin, 10963",Sehr kriminalitätsbelastete Gegend in der es gefährlich ist sein Rad abzustellen.,12,True,2019-09-11T21:13:29+00:00,,report_verification,,"52.4985731762093,13.3835408133029"
250,"Eisenbahnstraße 4, 10997 Berlin",Stellplätze für Lastenräder und mehr Plätze für normale Fahrräder werden vor der Markthalle gebraucht.,12,True,2019-09-11T21:15:52+00:00,,report_verification,,"52.5017497168768,13.432036110976"
251,"Scharnweberstraße 29, 10247 Berlin","Wohnhaus ohne Fahrradkeller, auf 5 Etagen etwa 20 Erwachsene und etliche Kinder. Nebenan Keramikladen mit Mitarbeiter*innen und Kundschaft.",4,False,2019-09-11T21:43:38+00:00,,report_verification,,"52.5131220336724,13.4635838199014"
252,"Scharnweberstraße 33, 10247 Berlin",Kita Kinderbüro e.V. ohne Fahrradabstellmöglichkeit im Hof,3,False,2019-09-11T21:46:10+00:00,,report_verification,,"52.5131034129813,13.4625789745668"
253,"Scharnweberstraße 33, 10247 Berlin",Kita Kinderbüro e.V. ohne Fahrradabstellmöglichkeiten im Hof.,3,False,2019-09-11T21:49:37+00:00,,report_verification,,"52.5131157823369,13.4624608426877"
254,"Hauptstraße 1, 10245 Berlin","Geschützter Ort vor Regen usw. dank der Südkurven Brücke, die Lage ist für Radfahrende sehr Zentral. Da Bus, Regio, S-Bahn usw. erreichbar.",12,True,2019-09-11T21:50:13+00:00,,report_verification,,"52.5028606108463,13.4675405393334"
255,"a 100, 10245 Berlin","am ostkreuz stehen täglich hunderte von fahrrädern der stralauer pendler, es fehlen tatsächlich hunderte von abstellmöglichkeiten",12,False,2019-09-11T22:01:53+00:00,,report_verification,,"52.5025555841698,13.4671280033205"
256,"Scharnweberstraße 22, 10247 Berlin","Viele Räder werden an nicht dafür vorgesehene Dinge (Verkehrsschilder) abgeschlossen, weil Bügel fehlen. Stichwort Kindergarten, Späti, ...",10,False,2019-09-11T22:25:42+00:00,,report_verification,,"52.5128679918626,13.465725314129"
257,"Kinzigstraße 7, 10247 Berlin",Zum Glück gibt es in der Kinzigstraße schon einen Fahrradbügel vor der Hausnummer 9. Leider ist der Bügel häufig (gerade abends) schon voll.,10,False,2019-09-11T22:30:16+00:00,,report_verification,,"52.5138577448618,13.4661147114034"
258,"Frankfurter Allee 50, 10247 Berlin",Hier hat ein Restaurant eröffnet und es ist auch Fastfood zum mitnehmen. Daher werden Fahrräder auf Fuß-&Radweg abgestellt,3,True,2019-09-11T22:44:19+00:00,,report_verification,,"52.514611578024,13.4643126563021"
259,"Krossener Straße 24, 10245 Berlin",Boxhagener Platz,12,False,2019-09-11T22:52:33+00:00,,report_verification,,"52.5103151503174,13.4604305396113"
260,"Haasestraße 3, 10245 Berlin",vor dem Lovelite Haasestr.,8,False,2019-09-11T22:55:51+00:00,,report_verification,,"52.5067455099386,13.4615993425909"
261,"Schönleinstraße 10, 10967 Berlin","Sperrfläche an der Spitze des Hohenstaufenplatzes ist konsequent von Autos beparkt, daher sehr schlechte Sicht auf Verkehr in dieser Kurve.",6,False,2019-09-11T22:57:49+00:00,,report_verification,,"52.491658216158,13.4202165869442"
262,"Dieffenbachstraße 62, 10967 Berlin",Überall vor den Läden in der Dieffenbachstraße fehlen ordentliche Abstellanlagen; diese könnten hier auch Falschparken effektiv verhindern.,2,False,2019-09-11T22:58:10+00:00,,report_verification,,"52.4929794449292,13.4150392553253"
263,"Neue Bahnhofstraße 36, 10245 Berlin",S-Bahnhof Ostkreuz,12,False,2019-09-11T22:58:22+00:00,,report_verification,,"52.5043822048099,13.4681385313687"
264,"Dieffenbachstraße 60, 10967 Berlin",Die Robert-Koch-Oberschule bietet wenige Stellplätze im Hof; auch vor der Schule sollten Abstellanlagen vorhanden sein.,8,False,2019-09-11T23:00:09+00:00,,report_verification,,"52.4929339019309,13.4156943090863"
265,"Revaler Straße 2, 10245 Berlin",Revaler str. 100,7,False,2019-09-11T23:01:03+00:00,,report_verification,,"52.5086511417395,13.4504556845176"
266,"Frankfurter Allee 102, 10247 Berlin",Ring Center,12,False,2019-09-11T23:02:11+00:00,,report_verification,,"52.5138617407541,13.4735530942842"
267,"Tamara-Danz-Straße 5, 10243 Berlin",East Side Mall,12,False,2019-09-11T23:03:32+00:00,,report_verification,,"52.5055755132637,13.4471182133158"
268,"Gärtnerstraße 20, 10245 Berlin",Ladenkino,6,False,2019-09-11T23:08:48+00:00,,report_verification,,"52.5120779621889,13.4614935211393"
269,"Kottbusser Tor, 10999 Berlin",Am Kotti ist eindeutig zu wenig Platz für Fahrräder die überall an Masten angeschlossen werden.,12,False,2019-09-11T23:20:17+00:00,,report_verification,,"52.4991046780748,13.4187317727498"
270,"Wassertorstraße 65, 10969 Berlin","Öffentlicher Platz, viele wild geparkte Räder an sehr wenigen Laternen",5,False,2019-09-12T01:36:03+00:00,,report_verification,,"52.4992861988989,13.4101938310266"
271,"U Kottbusser Tor, Kottbusser Tor, Berlin, 10999","Komplettes Chaos. Kaum Abstellmöglichkeiten, aber hoher Bedarf",12,True,2019-09-12T01:38:16+00:00,,report_verification,,"52.4989953248819,13.4182865997118"
272,"U Kottbusser Tor, Kottbusser Tor, Berlin, 10999","Komplettes Chaos. Ksum Abstellmöglichkeiten, aber hoher Bedarf.",12,True,2019-09-12T01:39:31+00:00,,report_verification,,"52.4989953248819,13.4182865997118"
273,"Skalitzer Straße 107, 10997 Berlin","Kaum bis keine sicheren Abstellplätze, aber hoher Bedarf",12,True,2019-09-12T01:42:19+00:00,,report_verification,,"52.4993114551822,13.4269006660195"
274,"Köpenicker Straße 174, 10997 Berlin","An dem Ort befinden sich 3 Kindertagesstätten mit über 60 Plätzen, eine Gastwirtschaft, ein Gewerbehof mit diversem Handwerk, Kunst etc",12,True,2019-09-12T04:23:57+00:00,,report_verification,,"52.5042132661237,13.435370641749"
275,"Muskauer Straße 16, 10997 Berlin",An der NO-Ecke Manteuffel-/Muskauer Str parken tägl. PKW auf der „verlängerten“ Parkspur Muskauer Str (=mitten auf der Gehwegvorstreckung),1,False,2019-09-12T04:44:18+00:00,,report_verification,,"52.5023517505056,13.4291912994443"
276,"Yorckstraße 87, 10965 Berlin","Rund um die Kirche In der yorckstrasse ist viel Platz aber wenig Möglichkeit das Fahrrad abzustellen. Kirche, yorck Kino u Kreuzberg Himmel",12,False,2019-09-12T04:49:50+00:00,,report_verification,,"52.4926879629404,13.3860557473262"
277,"Fidicinstraße 5, 10965 Berlin",Bei uns in der Gegend gibt es viele Radfahrer. Auf dem Bürgersteig gibt es jedoch kaum Platz Fahrräder abzuschließen.,3,False,2019-09-12T05:17:52+00:00,,report_verification,,"52.4869071236245,13.3885750191912"
278,"Mühsamstraße 66, 10249 Berlin",,6,False,2019-09-12T05:23:44+00:00,,report_verification,,"52.520648517703,13.453565744554"
279,"Edith-Kiss-Straße, 10243 Berlin",Stellplätze für Zalando,10,False,2019-09-12T05:36:00+00:00,,report_verification,,"52.5057698870703,13.4397329217642"
280,"Hauptstraße 1, 10245 Berlin",Am S Ostkreuz ist auf allen Seiten eine zu geringe Zahl von Fahrrad Stellplätzen. Teilweise eh nur provisorisch.,12,False,2019-09-12T05:56:21+00:00,,report_verification,,"52.5023554795924,13.4691873215344"
281,"Neue Bahnhofstraße 36, 10245 Berlin",Am Zugang zum Ostkreuz wären mehr Abstellmöglichkeiten für Fahrräder notwendig. Derzeit wird überwiegend der Bauzaun genutzt.,12,False,2019-09-12T06:04:46+00:00,,report_verification,,"52.5044127830598,13.4684036575807"
282,"Reichenberger Straße 126, 10999 Berlin",An der Adresse befindet sich eine Ergotherapiepraxis.,5,False,2019-09-12T06:08:32+00:00,,report_verification,,"52.4958500702296,13.4325250681561"
